"Copyright © 2001-2019 Python Software Foundation; All Rights Reserved"

"documentText","functionality","concept","directives","purpose","quality","control","structure","patterns","codeExamples","environment","reference","nonInformation"
"Additional online Documentation: Syntax: JScript   public bool RegisterWindowMessageHandler( WindowMessage callback ) Parameters callbackType: System.Activities.Design.WindowMessage The delegate to be registered for event notifications. Return Value Type: System.Boolean true if the operation is successful; otherwise, false. Summary: Registers the specified delegate for event notifications.",1,0,0,0,0,0,0,0,0,0,0,1
"Additional online Documentation: Syntax: JScript   public void Flush() Summary: Saves the current state of the workflow to the Textproperty.",1,0,0,0,0,0,0,0,1,0,0,1
"Additional online Documentation: Syntax: JScript   protected WorkflowElementDialog() Summary: Initializes a new instance of the WorkflowElementDialog class.",0,0,0,0,0,0,0,0,0,0,0,1
"Additional online Documentation: Syntax: JScript   public static readonly DependencyProperty ItemProperty Summary: Identifies the Items dependency property.",0,0,0,0,0,0,0,0,0,0,0,1
"Additional online Documentation: Syntax: JScript   public static readonly DependencyProperty HeaderTemplateProperty Summary: Identifies the HeaderTemplate dependency property.",1,0,0,0,0,0,0,0,0,0,0,0
"Additional online Documentation: Syntax: System.Object    System.Activities.Design.Debug.BreakpointInfo Summary: Handles breakpoint location and type information that is used in conjunction with the debugging of an activity. ThreadSafety: Any public static (Shared in Visual Basic) members of this type are thread safe. Any instance members are not guaranteed to be thread safe.",0,0,0,0,0,0,0,0,0,0,0,0
"Additional online Documentation: Syntax: public void UpdateBreakpoint( SourceLocation sourceLocation, BreakpointTypes newBreakpointType ) Parameters sourceLocationType: System.Activities.Debugger.SourceLocation The location of the breakpoint to update. newBreakpointTypeType: System.Activities.Design.BreakpointTypes A new breakpoint type from the BreakpointTypes enumeration. Implements IDesignerDebugView.UpdateBreakpoint(SourceLocation, BreakpointTypes) Summary: Updates the appearance of a specified breakpoint to show the specified type.",1,0,0,0,0,0,0,0,0,0,0,0
"Additional online Documentation: Syntax: System.Object    System.Activities.Design.Model.ModelEditingScope     System.Activities.Design.ModelTree.EditingScope Summary: Describes the editing scope. ThreadSafety: Any public static (Shared in Visual Basic) members of this type are thread safe. Any instance members are not guaranteed to be thread safe.",0,0,0,0,0,0,1,0,0,0,0,1
"Additional online Documentation: Syntax: JScript   public interface IValidationErrorService Summary: Provides accessibility to a specified list of activity validation errors.",1,0,0,0,0,0,0,0,0,0,0,0
"Additional online Documentation: Syntax: System.Object    System.Activities.Design.Validation.ValidationErrorInfo Summary: Provides a container for all the properties attached to an instance of a validation error that occurred during the design time or run time of a workflow activity. ThreadSafety: Any public static (Shared in Visual Basic) members of this type are thread safe. Any instance members are not guaranteed to be thread safe.",1,0,0,0,0,0,0,0,0,0,0,0
"A value that indicates that a workflow element is valid.",0,0,0,0,0,0,0,0,0,0,0,1
"Additional online Documentation: Syntax: JScript   public Object Convert( Object value, Type targetType, Object parameter, CultureInfo culture ) Parameters valueType: System.Object Not the value to convert. targetTypeType: System.Type Not implemented. parameterType: System.Object Not implemented. cultureType: System.Globalization.CultureInfo Not implemented. Return Value Type: System.Object Returns Object. Contains the converted Argument.Expression. Implements IValueConverter.Convert(Object, Type, Object, CultureInfo) Summary: Converts the specified argument into an Argument.Expression.",1,0,0,0,0,0,0,0,0,0,0,1
"Additional online Documentation: Syntax: ArgumentToExpressionModelItemConverter handles the case where the argument value itself is null. In this situation, ArgumentToExpressionModelItemConverter creates the wrapper object for the Expression to be used from. Summary: Converts an argument to an expression model. Remarks: ArgumentToExpressionModelItemConverter handles the case where the argument value itself is null. In this situation, ArgumentToExpressionModelItemConverter creates the wrapper object for the Expression to be used from. ThreadSafety: Any public static (Shared in Visual Basic) members of this type are thread safe. Any instance members are not guaranteed to be thread safe.",1,0,0,0,0,0,0,0,0,0,0,1
"Additional online Documentation: Syntax: System.Object    System.Windows.Threading.DispatcherObject     System.Windows.DependencyObject       System.Windows.Media.Visual         System.Windows.UIElement           System.Windows.FrameworkElement             System.Windows.Controls.Control               System.Windows.Controls.ContentControl                 System.Windows.Controls.UserControl                   System.Activities.Design.View.ErrorView Summary: Contains the error view presented when there are exceptions or errors in the designer view, or when the designer is unable to load. ThreadSafety: Any public static (Shared in Visual Basic) members of this type are thread safe. Any instance members are not guaranteed to be thread safe.",1,0,0,0,0,0,0,0,0,0,0,0
"Additional online Documentation: Syntax: JScript   public static readonly DependencyProperty UseLocationExpressionProperty Summary: Registers the UseLocationExpression dependency property.",1,0,0,0,0,0,0,0,0,0,0,1
"Additional online Documentation: Syntax: JScript   public static readonly DependencyProperty DesignerProperty Summary: Registers the Designer property.",1,0,0,0,0,0,0,0,0,0,0,0
"Additional online Documentation: Syntax: JScript   public event ExtensionWindow..::..ExtensionWindowClosingEventHandler Closing Summary: Occurs when the window is closing.",0,0,0,0,0,0,0,0,0,0,0,1
"Additional online Documentation: Syntax: JScript   public static readonly DependencyProperty IconProperty Summary: Identifies with the Icon dependency property.",1,0,0,0,0,0,0,0,0,0,0,0
"Additional online Documentation: Syntax: System.Object    System.EventArgs     System.Windows.RoutedEventArgs       System.Activities.Design.View.ExtensionWindowClosingRoutedEventArgs Summary: Contains the arguments for the ExtensionWindowClosingRoutedEvent. ThreadSafety: Any public static (Shared in Visual Basic) members of this type are thread safe. Any instance members are not guaranteed to be thread safe.",0,0,0,0,0,0,0,0,0,0,0,1
"Additional online Documentation: Syntax: System.Object    System.Windows.Threading.DispatcherObject     System.Windows.DependencyObject       System.Activities.Design.View.FilterableData         System.Activities.Design.View.FilterableData(Of TData) Summary: Represents a piece of data that can be filtered on visibility. ThreadSafety: Any public static (Shared in Visual Basic) members of this type are thread safe. Any instance members are not guaranteed to be thread safe.",1,0,0,0,0,0,0,0,0,0,0,0
"Additional online Documentation: Syntax: JScript   public override string ToString() Return Value Type: System.String Returns String. Summary: Converts this piece of data into a string.",0,0,0,0,0,0,0,0,0,0,0,1
"Additional online Documentation: Syntax: public class FilterableData<TData> : FilterableData Type Parameters TData Summary: Represents a piece of data that can be filtered on visibility. ThreadSafety: Any public static (Shared in Visual Basic) members of this type are thread safe. Any instance members are not guaranteed to be thread safe.",1,0,0,0,0,0,0,0,0,0,0,0
"Additional online Documentation: Syntax: JScript   event EventHandler LostAggregateFocus Summary: Represents an event that is raised when the expression editor loses aggregate focus.",0,0,0,0,0,1,0,0,0,0,0,0
"Additional online Documentation: Syntax: JScript   public enum PropertyKind Summary: An enumeration that describes the type of argument being passed.",0,1,0,0,0,0,0,0,0,1,0,0
"Additional online Documentation: Syntax: JScript   public event ViewStateChangedEventHandler ViewStateChanged Summary: Declares an event that signals that a change has been made to the control's view state.",0,0,0,0,0,0,0,0,0,0,0,0
"Additional online Documentation: Syntax: public string Import { get; set; } Property Value Type: System.String The imported namespace referenced by this VisualBasicImportReference. Summary: Gets or sets the imported namespace referenced by this VisualBasicImportReference.",1,0,0,0,0,0,0,0,0,0,0,1
"Additional online Documentation: Syntax: public string ExpressionText { get; set; } Property Value Type: System.String The Visual Basic expression. Implements ITextExpression.ExpressionText Summary: Gets or set the Visual Basic expression represented by this VisualBasicReference(Of TResult).",1,0,0,0,0,0,0,0,0,0,0,0
"Additional online Documentation: Syntax: public sealed class VisualBasicValue<TResult> : CodeActivity<TResult>, IValueSerializableExpression, ITextExpression Type Parameters TResult The type of the expression. Summary: Contains an expression in Visual Basic syntax that evaluates to an r-value, which supports binding of In arguments. Remarks: This activity uses the LINQ to Entity provider to evaluate LINQ expressions. Any LINQ expressions used with this activity must be evaluatable by the ADO.Net Entity Data Model. For example, LINQ expressions cannot be used to reference activities, variables, or arguments of the workflow itself. ThreadSafety: Any public static (Shared in Visual Basic) members of this type are thread safe. Any instance members are not guaranteed to be thread safe.",1,0,1,0,0,0,0,0,0,0,0,0
"Additional online Documentation: Syntax: protected Activity() Summary: When implemented in a derived class, creates a new instance of the derived class.",0,0,0,0,0,0,0,0,0,0,0,1
"Additional online Documentation: Syntax: public static Activity<TResult> FromVariable( Variable<TResult> variable ) Parameters variableType: System.Activities.Variable(Of TResult) The value for the expression. Return Value Type: System.Activities.Activity(Of TResult) A workflow expression that evaluates to the given variable. Summary: Returns a Activity(Of TResult) expression that evaluates to the given Variable(Of T).",0,0,0,0,0,0,0,0,0,0,0,1
"Additional online Documentation: Syntax: public static implicit operator Activity<TResult> ( TResult constValue ) Parameters constValueType: TResult The value used to create the expression. Return Value Type: System.Activities.Activity(Of TResult) A workflow expression that evaluates to the given value. Summary: Returns a Activity(Of TResult) expression that evaluates to the given value.",0,0,0,0,0,0,0,0,0,0,0,1
"Additional online Documentation: Syntax: public sealed class ActivityAction<T> : ActivityDelegate Type Parameters T The type of the in argument of the activity delegate. Summary: Defines an activity delegate that has one in argument and does not return a value. Remarks: An activity delegate allows a developer to define the required signature of an activity that will be specified by a third party. There are multiple generic versions of this type that take from 1 to 16 arguments for the activity that is called. There are also ActivityFunc types for activity delegates that return values. ThreadSafety: Any public static (Shared in Visual Basic) members of this type are thread safe. Any instance members are not guaranteed to be thread safe.",1,1,0,0,0,0,0,0,0,0,0,1
"Additional online Documentation: Syntax: public DelegateInArgument<T10> Argument10 { get; set; } Property Value Type: System.Activities.DelegateInArgument(Of T10) An argument to an activity delegate. Summary: Gets or sets the tenth in argument of the activity delegate.",0,0,0,0,0,0,0,0,0,0,0,1
"Additional online Documentation: Syntax: public DelegateInArgument<T13> Argument13 { get; set; } Property Value Type: System.Activities.DelegateInArgument(Of T13) An argument to an activity delegate. Summary: Gets or sets the thirteenth in argument of the activity delegate.",0,0,0,0,0,0,0,0,0,0,0,1
"Additional online Documentation: Syntax: public sealed class ActivityAction<T1, T2> : ActivityDelegate Type Parameters T1 The type of the first in argument of the activity delegate. T2 The type of the second in argument of the activity delegate. Summary: Defines an activity delegate that has two in arguments and does not return a value. Remarks: An activity delegate allows a developer to define the required signature of an activity that will be specified by a third party. There are multiple generic versions of this type that take from 1 to 16 arguments for the activity that is called. There are also ActivityFunc types for activity delegates that return values. ThreadSafety: Any public static (Shared in Visual Basic) members of this type are thread safe. Any instance members are not guaranteed to be thread safe.",1,0,0,0,0,0,0,0,0,0,0,0
"Additional online Documentation: Syntax: public DelegateInArgument<T6> Argument6 { get; set; } Property Value Type: System.Activities.DelegateInArgument(Of T6) An argument to an activity delegate. Summary: Gets or sets the sixth in argument of the activity delegate.",0,0,0,0,0,0,0,0,0,0,0,1
"Additional online Documentation: Syntax: public DelegateInArgument<T6> Argument6 { get; set; } Property Value Type: System.Activities.DelegateInArgument(Of T6) An argument to an activity delegate. Summary: Gets or sets the sixth in argument of the activity delegate.",1,0,0,0,0,0,0,0,0,0,0,0
"Additional online Documentation: Syntax: public sealed class ActivityFunc<T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, T13, T14, T15, TResult> : ActivityDelegate Type Parameters T1 The type of the first in argument of the activity delegate. T2 The type of the second in argument of the activity delegate. T3 The type of the third in argument of the activity delegate. T4 The type of the fourth in argument of the activity delegate. T5 The type of the fifth in argument of the activity delegate. T6 The type of the sixth in argument of the activity delegate. T7 The type of the seventh in argument of the activity delegate. T8 The type of the eighth in argument of the activity delegate. T9 The type of the ninth in argument of the activity delegate. T10 The type of the tenth in argument of the activity delegate. T11 The type of the eleventh in argument of the activity delegate. T12 The type of the twelfth in argument of the activity delegate. T13 The type of the thirteenth in argument of the activity delegate. T14 The type of the fourteenth in argument of the activity delegate. T15 The type of the fifteenth in argument of the activity delegate. TResult The type of the out argument of the activity delegate. Summary: Defines an activity delegate with one in argument of type T and one out argument of type TResult. Remarks: The ActivityDelegate enables activity authors to expose callbacks with specific signatures that users of the activity can provide activity-based handlers for. ActivityFunc(Of T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, T13, T14, T15, TResult) is an ActivityDelegate that returns a value. The signature of the ActivityFunc(Of T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, T13, T14, T15, TResult) is specified as generic type arguments. There are multiple generic versions of this type that take from 1 to 16 in arguments, plus the out argument, for the activity that is called. There are also ActivityAction types for activity delegates that do not return values. ThreadSafety: Any public static (Shared in Visual Basic) members of this type are thread safe. Any instance members are not guaranteed to be thread safe.",1,0,0,0,0,0,0,0,0,0,0,1
"Additional online Documentation: Syntax: public DelegateInArgument<T12> Argument12 { get; set; } Property Value Type: System.Activities.DelegateInArgument(Of T12) An argument to an activity delegate. Summary: Gets or sets the twelfth in argument of the activity delegate.",0,0,0,0,0,0,0,0,0,0,0,1
"Additional online Documentation: Syntax: public sealed class ActivityFunc<T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, T13, T14, T15, T16, TResult> : ActivityDelegate Type Parameters T1 The type of the first in argument of the activity delegate. T2 The type of the second in argument of the activity delegate. T3 The type of the third in argument of the activity delegate. T4 The type of the fourth in argument of the activity delegate. T5 The type of the fifth in argument of the activity delegate. T6 The type of the sixth in argument of the activity delegate. T7 The type of the seventh in argument of the activity delegate. T8 The type of the eighth in argument of the activity delegate. T9 The type of the ninth in argument of the activity delegate. T10 The type of the tenth in argument of the activity delegate. T11 The type of the eleventh in argument of the activity delegate. T12 The type of the twelfth in argument of the activity delegate. T13 The type of the thirteenth in argument of the activity delegate. T14 The type of the fourteenth in argument of the activity delegate. T15 The type of the fifteenth in argument of the activity delegate. T16 The type of the sixteenth in argument of the activity delegate. TResult The type of the out argument of the activity delegate. Summary: Defines an activity delegate with one in argument of type T and one out argument of type TResult. Remarks: The ActivityDelegate enables activity authors to expose callbacks with specific signatures that users of the activity can provide activity-based handlers for. ActivityFunc(Of T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, T13, T14, T15, T16, TResult) is an ActivityDelegate that returns a value. The signature of the ActivityFunc(Of T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, T13, T14, T15, T16, TResult) is specified as generic type arguments. There are multiple generic versions of this type that take from 1 to 16 in arguments, plus the out argument, for the activity that is called. There are also ActivityAction types for activity delegates that do not return values. ThreadSafety: Any public static (Shared in Visual Basic) members of this type are thread safe. Any instance members are not guaranteed to be thread safe.",1,0,0,1,0,0,1,0,1,0,0,0
"Additional online Documentation: Syntax: public DelegateInArgument<T9> Argument9 { get; set; } Property Value Type: System.Activities.DelegateInArgument(Of T9) An argument to an activity delegate. Summary: Gets or sets the ninth in argument of the activity delegate.",0,0,0,0,0,0,0,0,0,0,0,0
"Additional online Documentation: Syntax: public DelegateInArgument<T2> Argument2 { get; set; } Property Value Type: System.Activities.DelegateInArgument(Of T2) An argument to an activity delegate. Summary: Gets or sets the second in argument of the activity delegate.",0,0,0,0,0,0,0,0,0,0,0,1
"Additional online Documentation: Syntax: public DelegateOutArgument<TResult> Result { get; set; } Property Value Type: System.Activities.DelegateOutArgument(Of TResult) An argument to an activity delegate. Summary: Gets or sets the out argument of the activity delegate.",0,0,0,0,0,0,0,0,0,0,0,1
"Additional online Documentation: Syntax: public DelegateInArgument<T2> Argument2 { get; set; } Property Value Type: System.Activities.DelegateInArgument(Of T2) An argument to an activity delegate. Summary: Gets or sets the second in argument of the activity delegate.",0,0,0,0,0,0,0,0,0,0,0,1
"Additional online Documentation: Syntax: public string Id { get; } Property Value Type: System.String An identifier that uniquely identifies the ActivityInstance. Summary: Gets an identifier that uniquely identifies the ActivityInstance.",1,0,0,0,0,0,0,0,0,0,0,1
"Additional online Documentation: Syntax: public void RequireExtension<T>() where T : class Type Parameters T The type of the extension. Summary: Specifies that the activity requires an extension of the specified generic type at runtime. Remarks: If the host fails to provide an extension of the specified type, validation fails.",1,0,0,0,0,0,0,0,0,0,0,0
"Additional online Documentation: Syntax: public class ActivityPropertyReference Summary: Represents a property reference that is used in ActivityBuilder and that maps to a PropertyReferenceExtension(Of T) in an x:Class activity when the x:Class activity is deserialized into an ActivityBuilder. ThreadSafety: Any public static (Shared in Visual Basic) members of this type are thread safe. Any instance members are not guaranteed to be thread safe.",1,0,0,0,0,0,1,0,0,0,0,0
"Additional online Documentation: Syntax: public enum BookmarkResumptionResult Summary: Defines an enumeration whose members represent the outcome of bookmark scheduling requests.",1,0,0,0,0,0,0,0,0,0,0,1
"Additional online Documentation: Syntax: [DataContractAttribute] public sealed class BookmarkScopeHandle : Handle Summary: A T:System.Handle used to manage the lifetime of a BookmarkScope. ThreadSafety: Any public static (Shared in Visual Basic) members of this type are thread safe. Any instance members are not guaranteed to be thread safe.",0,0,0,0,0,0,0,0,0,0,0,0
"Additional online Documentation: Syntax: public abstract class CodeActivity<TResult> : Activity<TResult> Type Parameters TResult The result returned by the activity. Summary: An abstract class for creating a custom activity with imperative behavior defined in the Execute(CodeActivityContext) method, giving access to variable and argument resolution and extensions. Remarks: Derived classes can define a result value of the type specified in the type specifier of the class. Example: The following example shows how to derive a class from CodeActivity(Of TResult). ThreadSafety: Any public static (Shared in Visual Basic) members of this type are thread safe. Any instance members are not guaranteed to be thread safe.",1,0,0,0,0,0,0,0,1,0,0,1
"Additional online Documentation: Syntax: public struct CodeActivityMetadata Summary: Represents the set of arguments that a configured CodeActivity introduces to the execution environment. ThreadSafety: Any public static (Shared in Visual Basic) members of this type are thread safe. Any instance members are not guaranteed to be thread safe.",0,0,0,0,0,0,1,0,0,0,0,0
"Additional online Documentation: Syntax: public delegate void DelegateCompletionCallback( NativeActivityContext context, ActivityInstance completedInstance, IDictionary<string, Object> outArguments ) Parameters contextType: System.Activities.NativeActivityContext The execution environment of the activity handling the callback. completedInstanceType: System.Activities.ActivityInstance The completed activity instance of the ActivityDelegate handler. outArgumentsType: System.Collections.Generic.IDictionary(Of String, Object) The output arguments of the completed ActivityDelegate. Summary: Represents the method that is called when an ActivityDelegate completes. Remarks: The values in the outArguments dictionary are the ActivityDelegateParameter values of the ActivityDelegate that are assigned when the ActivityDelegate is invoked, keyed by Name.",1,0,0,0,0,0,0,0,0,0,0,1
"Additional online Documentation: Syntax: public sealed class DelegateInArgument<T> : DelegateInArgument Type Parameters T The data type of the DelegateInArgument(Of T). Summary: A binding terminal that represents the flow of data into an ActivityDelegate. ThreadSafety: Any public static (Shared in Visual Basic) members of this type are thread safe. Any instance members are not guaranteed to be thread safe.",1,0,0,0,0,0,0,0,0,0,0,1
"Additional online Documentation: Syntax: public DelegateInArgument() Summary: Initializes a new instance of the DelegateInArgument(Of T) class.",1,0,0,0,0,0,0,0,0,0,0,1
"Additional online Documentation: Syntax: PropertyDescriptor ICustomTypeDescriptor.GetDefaultProperty() Return Value Type: System.ComponentModel.PropertyDescriptor The default property. Implements ICustomTypeDescriptor.GetDefaultProperty Summary: Returns the default property for the dynamic activity. Remarks: This member is an explicit interface member implementation. It can be used only when the DynamicActivity instance is cast to an ICustomTypeDescriptor interface.",0,0,0,0,0,0,0,0,0,0,0,1
"Additional online Documentation: Syntax: public Collection<Attribute> Attributes { get; } Property Value Type: System.Collections.ObjectModel.Collection(Of Attribute) The collection of attributes. Summary: Gets the collection of attributes of the dynamically generated activity.",0,0,0,0,0,0,0,0,0,0,0,0
"Additional online Documentation: Syntax: AttributeCollection ICustomTypeDescriptor.GetAttributes() Return Value Type: System.ComponentModel.AttributeCollection The attributes of the dynamic activity. Implements ICustomTypeDescriptor.GetAttributes Summary: Returns a collection of attributes of the dynamic activity. Remarks: This member is an explicit interface member implementation. It can be used only when the DynamicActivity(Of TResult) instance is cast to an ICustomTypeDescriptor interface.",0,0,0,0,0,0,0,0,0,0,0,1
"Additional online Documentation: Syntax: public Object Value { get; set; } Property Value Type: System.Object An object of type Object. Summary: Gets or sets the value of the DynamicActivityProperty object.",1,0,0,0,0,0,0,0,0,0,0,1
"Additional online Documentation: Syntax: [DataContractAttribute] public abstract class Handle Summary: Represents a type that has its lifetime controlled by the workflow runtime. Remarks: Types derived from Handle have their lifetimes controlled by the workflow runtime. For workflow variables of handle types, the runtime uses the required default constructor to create an instance of the type, assigns it to the Variable, and calls OnInitialize(HandleInitializationContext) when initializing the environment. When the variable goes out of scope, OnUninitialize(HandleInitializationContext) is called. ThreadSafety: Any public static (Shared in Visual Basic) members of this type are thread safe. Any instance members are not guaranteed to be thread safe.",1,0,0,0,0,1,0,0,0,0,0,0
"Additional online Documentation: Syntax: protected virtual void OnUninitialize( HandleInitializationContext context ) Parameters contextType: System.Activities.HandleInitializationContext The environment in which the handle was created. Summary: Called by the workflow runtime when the Variable for the Handle goes out of scope.",0,0,0,0,0,1,0,0,0,0,0,0
"Additional online Documentation: Syntax: [TypeConverterAttribute(typeof(InArgumentConverter))] [ContentPropertyAttribute(#Expression#)] public sealed class InArgument<T> : InArgument Type Parameters T The data type of the InArgument(Of T). Summary: A binding terminal that represents the flow of data into an activity. Example: In this example, a workflow is created that consists of a single WriteLine activity. The WriteLine activity has an InArgument(Of T) named Text. The host application creates an instance of the workflow and passes a string, which maps to the Text argument of the WriteLine and is used by the WriteLine activity. ThreadSafety: Any public static (Shared in Visual Basic) members of this type are thread safe. Any instance members are not guaranteed to be thread safe.",1,0,0,0,0,0,0,0,0,0,0,0
"Additional online Documentation: Syntax: public InOutArgument() Summary: Initializes a new instance of the InOutArgument(Of T) class using default values.",0,0,0,0,0,0,0,0,0,0,0,0
"Additional online Documentation: Syntax: [DataContractAttribute] public abstract class Location Summary: Provides a reference to a value used by an Argument or Variable. ThreadSafety: Any public static (Shared in Visual Basic) members of this type are thread safe. Any instance members are not guaranteed to be thread safe.",1,0,0,0,0,0,0,0,0,0,0,0
"Additional online Documentation: Syntax: public abstract class LocationReferenceEnvironment Summary: Provides a representation of the environment of variables and arguments that is available to an activity at runtime. ThreadSafety: Any public static (Shared in Visual Basic) members of this type are thread safe. Any instance members are not guaranteed to be thread safe.",1,0,0,0,0,0,0,0,0,0,0,0
"Additional online Documentation: Syntax: public ActivityInstance ScheduleAction<T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, T13, T14, T15>( ActivityAction<T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, T13, T14, T15> activityAction, T1 argument1, T2 argument2, T3 argument3, T4 argument4, T5 argument5, T6 argument6, T7 argument7, T8 argument8, T9 argument9, T10 argument10, T11 argument11, T12 argument12, T13 argument13, T14 argument14, T15 argument15, CompletionCallback onCompleted, FaultCallback onFaulted ) Type Parameters T1 The data that is carried into an activity. T2 The data that is carried into an activity. T3 The data that is carried into an activity. T4 The data that is carried into an activity. T5 The data that is carried into an activity. T6 The data that is carried into an activity. T7 The data that is carried into an activity. T8 The data that is carried into an activity. T9 The data that is carried into an activity. T10 The data that is carried into an activity. T11 The data that is carried into an activity. T12 The data that is carried into an activity. T13 The data that is carried into an activity. T14 The data that is carried into an activity. T15 Generic parameter that represents data that is carried into an activity. Parameters activityActionType: System.Activities.ActivityAction(Of T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, T13, T14, T15) An action that executes when a specific event occurs in the parent activity. argument1Type: T1 An argument that carries data into an activity. argument2Type: T2 An argument that carries data into an activity. argument3Type: T3 An argument that carries data into an activity. argument4Type: T4 An argument that carries data into an activity. argument5Type: T5 An argument that carries data into an activity. argument6Type: T6 An argument that carries data into an activity. argument7Type: T7 An argument that carries data into an activity. argument8Type: T8 An argument that carries data into an activity. argument9Type: T9 An argument that carries data into an activity. argument10Type: T10 An argument that carries data into an activity. argument11Type: T11 An argument that carries data into an activity. argument12Type: T12 An argument that carries data into an activity. argument13Type: T13 An argument that carries data into an activity. argument14Type: T14 An argument that carries data into an activity. argument15Type: T15 An argument that carries data into an activity. onCompletedType: System.Activities.CompletionCallback A bookmark that indicates where the parent activity execution resumes upon completion of the ActivityAction(Of T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, T13, T14, T15). onFaultedType: System.Activities.FaultCallback A bookmark that indicates where the parent activity execution resumes if an error causes the termination of the ActivityAction(Of T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, T13, T14, T15). Return Value Type: System.Activities.ActivityInstance An instance of an activity. Summary: Schedules for execution a specified ActivityAction(Of T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, T13, T14, T15) that has fifteen parameters for in arguments and that bookmarks the specified callback locations where the parent process resumes upon completion of the ActivityAction(Of T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, T13, T14, T15).",1,0,0,0,0,0,0,0,0,0,0,1
