"Copyright © 2001-2019 Python Software Foundation; All Rights Reserved"

ID,text,functionality,concept,directives,purpose,quality,control,structure,patterns,codeExamples,environment,reference,nonInformation
11,"calendar.setfirstweekday(weekday)
 Sets the weekday (0 is Monday, 6 is Sunday) to start each week. The values MONDAY, TUESDAY, WEDNESDAY, THURSDAY, FRIDAY, SATURDAY, and SUNDAY are provided for convenience. For example, to set the first weekday to Sunday:
 
 import calendar
 calendar.setfirstweekday(calendar.SUNDAY)
 New in version 2.0.",1,0,0,0,0,0,0,1,1,0,0,0
12,"class collections.deque([iterable[, maxlen]])
 Returns a new deque object initialized left-to-right (using append()) with data from iterable. If iterable is not specified, the new deque is empty.
 
 Deques are a generalization of stacks and queues (the name is pronounced “deck” and is short for “double-ended queue”). Deques support thread-safe, memory efficient appends and pops from either side of the deque with approximately the same O(1) performance in either direction.
 
 Though list objects support similar operations, they are optimized for fast fixed-length operations and incur O(n) memory movement costs for pop(0) and insert(0, v) operations which change both the size and position of the underlying data representation.
 
 New in version 2.4.
 
 If maxlen is not specified or is None, deques may grow to an arbitrary length. Otherwise, the deque is bounded to the specified maximum length. Once a bounded length deque is full, when new items are added, a corresponding number of items are discarded from the opposite end. Bounded length deques provide functionality similar to the tail filter in Unix. They are also useful for tracking transactions and other pools of data where only the most recent activity is of interest.
 
 Changed in version 2.6: Added maxlen parameter.",1,1,0,1,1,0,1,0,0,0,0,0
13,"bisect.bisect_left(a, x, lo=0, hi=len(a))
 Locate the insertion point for x in a to maintain sorted order. The parameters lo and hi may be used to specify a subset of the list which should be considered; by default the entire list is used. If x is already present in a, the insertion point will be before (to the left of) any existing entries. The return value is suitable for use as the first parameter to list.insert() assuming that a is already sorted.
 
 The returned insertion point i partitions the array a into two halves so that all(val < x for val in a[lo:i]) for the left side and all(val >= x for val in a[i:hi]) for the right side.
 bisect.bisect_left(a, x, lo=0, hi=len(a))
 Locate the insertion point for x in a to maintain sorted order. The parameters lo and hi may be used to specify a subset of the list which should be considered; by default the entire list is used. If x is already present in a, the insertion point will be before (to the left of) any existing entries. The return value is suitable for use as the first parameter to list.insert() assuming that a is already sorted.
 
 The returned insertion point i partitions the array a into two halves so that all(val < x for val in a[lo:i]) for the left side and all(val >= x for val in a[i:hi]) for the right side.
 bisect.bisect_left(a, x, lo=0, hi=len(a))",1,1,0,0,0,0,0,1,0,0,0,0
14,"The sched module defines a class which implements a general purpose event scheduler:
 
 class sched.scheduler(timefunc, delayfunc)
 The scheduler class defines a generic interface to scheduling events. It needs two functions to actually deal with the “outside world” — timefunc should be callable without arguments, and return a number (the “time”, in any units whatsoever). The delayfunc function should be callable with one argument, compatible with the output of timefunc, and should delay that many time units. delayfunc will also be called with the argument 0 after each event is run to allow other threads an opportunity to run in multi-threaded applications.
 
 Example:
 
 >>> import sched, time
 >>> s = sched.scheduler(time.time, time.sleep)
 >>> def print_time(): print ""From print_time"", time.time()
 ...
 >>> def print_some_times():
 ... print time.time()
 ... s.enter(5, 1, print_time, ())
 ... s.enter(10, 1, print_time, ())
 ... s.run()
 ... print time.time()
 ...
 >>> print_some_times()
 930343690.257
 From print_time 930343695.274
 From print_time 930343700.273
 930343700.276",1,1,1,1,0,1,1,0,1,0,0,0
15,"class Queue.PriorityQueue(maxsize=0)
 Constructor for a priority queue. maxsize is an integer that sets the upperbound limit on the number of items that can be placed in the queue. Insertion will block once this size has been reached, until queue items are consumed. If maxsize is less than or equal to zero, the queue size is infinite.
 
 The lowest valued entries are retrieved first (the lowest valued entry is the one returned by sorted(list(entries))[0]). A typical pattern for entries is a tuple in the form: (priority_number, data).",1,0,0,0,0,1,0,1,1,0,0,1
16,"class weakref.WeakKeyDictionary([dict])
 Mapping class that references keys weakly. Entries in the dictionary will be discarded when there is no longer a strong reference to the key. This can be used to associate additional data with an object owned by other parts of an application without adding attributes to those objects. This can be especially useful with objects that override attribute accesses.
 
 Note Caution: Because a WeakKeyDictionary is built on top of a Python dictionary, it must not change size when iterating over it. This can be difficult to ensure for a WeakKeyDictionary because actions performed by the program during iteration may cause items in the dictionary to vanish “by magic” (as a side effect of garbage collection).
 WeakKeyDictionary objects have the following additional methods. These expose the internal references directly. The references are not guaranteed to be “live” at the time they are used, so the result of calling the references needs to be checked before being used. This can be used to avoid creating references that will cause the garbage collector to keep the keys around longer than needed.",1,0,1,0,0,1,1,1,0,0,0,1
17,"This module defines a class that acts as a wrapper around list objects. It is a useful base class for your own list-like classes, which can inherit from them and override existing methods or add new ones. In this way one can add new behaviors to lists.
 
 The UserList module defines the UserList class:
 
 class UserList.UserList([list])
 Class that simulates a list. The instance’s contents are kept in a regular list, which is accessible via the data attribute of UserList instances. The instance’s contents are initially set to a copy of list, defaulting to the empty list []. list can be any iterable, e.g. a real Python list or a UserList object.
 
 Note The UserList class has been moved to the collections module in Python 3. The 2to3 tool will automatically adapt imports when converting your sources to Python 3.
 In addition to supporting the methods and operations of mutable sequences (see section Sequence Types — str, unicode, list, tuple, bytearray, buffer, xrange), UserList instances provide the following attribute:
 
 UserList.data
 A real Python list object used to store the contents of the UserList class.",1,0,0,1,0,0,1,1,0,1,0,1
18,"types.GeneratorType
 The type of generator-iterator objects, produced by calling a generator function.",0,0,0,0,0,0,0,0,0,0,0,0
19,"Assignment statements in Python do not copy objects, they create bindings between a target and an object. For collections that are mutable or contain mutable items, a copy is sometimes needed so one can change one copy without changing the other. This module provides generic shallow and deep copy operations (explained below).
 
 Interface summary:
 
 copy.copy(x)
 Return a shallow copy of x.
 
 copy.deepcopy(x)
 Return a deep copy of x.
 
 exception copy.error
 Raised for module specific errors.
 
 The difference between shallow and deep copying is only relevant for compound objects (objects that contain other objects, like lists or class instances):
 
 A shallow copy constructs a new compound object and then (to the extent possible) inserts references into it to the objects found in the original.
 A deep copy constructs a new compound object and then, recursively, inserts copies into it of the objects found in the original.
 Two problems often exist with deep copy operations that don’t exist with shallow copy operations:
 
 Recursive objects (compound objects that, directly or indirectly, contain a reference to themselves) may cause a recursive loop.
 Because deep copy copies everything it may copy too much, such as data which is intended to be shared between copies.
 The deepcopy() function avoids these problems by:
 
 keeping a “memo” dictionary of objects already copied during the current copying pass; and
 letting user-defined classes override the copying operation or the set of components copied.
 This module does not copy types like module, method, stack trace, stack frame, file, socket, window, array, or any similar types. It does “copy” functions and classes (shallow and deeply), by returning the original object unchanged; this is compatible with the way these are treated by the pickle module.
 
 Shallow copies of dictionaries can be made using dict.copy(), and of lists by assigning a slice of the entire list, for example, copied_list = original_list[:].
 
 Changed in version 2.5: Added copying functions.
 
 Classes can use the same interfaces to control copying that they use to control pickling. See the description of module pickle for information on these methods. The copy module does not use the copy_reg registration module.
 
 In order for a class to define its own copy implementation, it can define special methods __copy__() and __deepcopy__(). The former is called to implement the shallow copy operation; no additional arguments are passed. The latter is called to implement the deep copy operation; it is passed one argument, the memo dictionary. If the __deepcopy__() implementation needs to make a deep copy of a component, it should call the deepcopy() function with the component as first argument and the memo dictionary as second argument.",1,1,0,1,0,1,1,1,1,0,0,0
20,"class pprint.PrettyPrinter(indent=1, width=80, depth=None, stream=None)¶
 Construct a PrettyPrinter instance. This constructor understands several keyword parameters. An output stream may be set using the stream keyword; the only method used on the stream object is the file protocol’s write() method. If not specified, the PrettyPrinter adopts sys.stdout. Three additional parameters may be used to control the formatted representation. The keywords are indent, depth, and width. The amount of indentation added for each recursive level is specified by indent; the default is one. Other values can cause output to look a little odd, but can make nesting easier to spot. The number of levels which may be printed is controlled by depth; if the data structure being printed is too deep, the next contained level is replaced by .... By default, there is no constraint on the depth of the objects being formatted. The desired output width is constrained using the width parameter; the default is 80 characters. If a structure cannot be formatted within the constrained width, a best effort will be made.
 
 >>> import pprint
 >>> stuff = ['spam', 'eggs', 'lumberjack', 'knights', 'ni']
 >>> stuff.insert(0, stuff[:])
 >>> pp = pprint.PrettyPrinter(indent=4)
 >>> pp.pprint(stuff)
 [ ['spam', 'eggs', 'lumberjack', 'knights', 'ni'],
  'spam',
  'eggs',
  'lumberjack',
  'knights',
  'ni']
 >>> tup = ('spam', ('eggs', ('lumberjack', ('knights', ('ni', ('dead',
 ... ('parrot', ('fresh fruit',))))))))
 >>> pp = pprint.PrettyPrinter(depth=6)
 >>> pp.pprint(tup)
 ('spam', ('eggs', ('lumberjack', ('knights', ('ni', ('dead', (...)))))))",1,0,0,0,0,0,0,1,1,0,0,1
21,"math.fsum(iterable)
 Return an accurate floating point sum of values in the iterable. Avoids loss of precision by tracking multiple intermediate partial sums:
 
 >>> sum([.1, .1, .1, .1, .1, .1, .1, .1, .1, .1])
 0.9999999999999999
 >>> fsum([.1, .1, .1, .1, .1, .1, .1, .1, .1, .1])
 1.0
 The algorithm’s accuracy depends on IEEE-754 arithmetic guarantees and the typical case where the rounding mode is half-even. On some non-Windows builds, the underlying C library uses extended precision addition and may occasionally double-round an intermediate sum causing it to be off in its least significant bit.
 
 For further discussion and two alternative approaches, see the ASPN cookbook recipes for accurate floating point summation.
 
 New in version 2.6.",1,0,0,0,0,0,0,0,1,1,1,0
22,"cmath.phase(x)
 Return the phase of x (also known as the argument of x), as a float. phase(x) is equivalent to math.atan2(x.imag, x.real). The result lies in the range [-?, ?], and the branch cut for this operation lies along the negative real axis, continuous from above. On systems with support for signed zeros (which includes most systems in current use), this means that the sign of the result is the same as the sign of x.imag, even when x.imag is zero:
 
 >>> phase(complex(-1.0, 0.0))
 3.1415926535897931
 >>> phase(complex(-1.0, -0.0))
 -3.1415926535897931",1,1,0,0,0,0,0,0,1,0,0,0
23,"limit_denominator(max_denominator=1000000)
 Finds and returns the closest Fraction to self that has denominator at most max_denominator. This method is useful for finding rational approximations to a given floating-point number:
 
 >>> from fractions import Fraction
 >>> Fraction('3.1415926535897932').limit_denominator(1000)
 Fraction(355, 113)
 or for recovering a rational number that’s represented as a float:
 
 >>> from math import pi, cos
 >>> Fraction(cos(pi/3))
 Fraction(4503599627370497, 9007199254740992)
 >>> Fraction(cos(pi/3)).limit_denominator()
 Fraction(1, 2)
 >>> Fraction(1.1).limit_denominator()
 Fraction(11, 10)",1,0,0,1,0,0,0,1,1,0,0,0
24,"random.uniform(a, b)
 Return a random floating point number N such that a <= N <= b for a <= b and b <= N <= a for b < a.
 
 The end-point value b may or may not be included in the range depending on floating-point rounding in the equation a + (b-a) * random().
",1,0,0,0,0,0,0,0,0,0,0,0
25,"functools.partial(func[,*args][, **keywords])
 Return a new partial object which when called will behave like func called with the positional arguments args and keyword arguments keywords. If more arguments are supplied to the call, they are appended to args. If additional keyword arguments are supplied, they extend and override keywords. Roughly equivalent to:
 
 def partial(func, *args, **keywords):
  def newfunc(*fargs, **fkeywords):
  newkeywords = keywords.copy()
  newkeywords.update(fkeywords)
  return func(*(args + fargs), **newkeywords)
  newfunc.func = func
  newfunc.args = args
  newfunc.keywords = keywords
  return newfunc
 The partial() is used for partial function application which “freezes” some portion of a function’s arguments and/or keywords resulting in a new object with a simplified signature. For example, partial() can be used to create a callable that behaves like the int() function where the base argument defaults to two:
 
 >>> from functools import partial
 >>> basetwo = partial(int, base=2)
 >>> basetwo.__doc__ = 'Convert base 2 string to an int.'
 >>> basetwo('10010')
 18",1,0,0,1,0,0,0,1,1,0,0,0
26,"os.path.join(path, *paths)
 Join one or more path components intelligently. The return value is the concatenation of path and any members of *paths with exactly one directory separator (os.sep) following each non-empty part except the last, meaning that the result will only end in a separator if the last part is empty. If a component is an absolute path, all previous components are thrown away and joining continues from the absolute path component.
 
 On Windows, the drive letter is not reset when an absolute path component (e.g., r'\foo') is encountered. If a component contains a drive letter, all previous components are thrown away and the drive letter is reset. Note that since there is a current directory for each drive, os.path.join(""c:"", ""foo"") represents a path relative to the current directory on drive C: (c:foo), not c:\foo.",1,0,0,0,0,0,0,0,1,1,0,1
27,"The stat module defines constants and functions for interpreting the results of os.stat(), os.fstat() and os.lstat() (if they exist). For complete details about the stat(), fstat() and lstat() calls, consult the documentation for your syste",0,0,0,0,0,0,1,0,0,0,0,0
28,"filecmp.cmpfiles(dir1, dir2, common[, shallow])
 Compare the files in the two directories dir1 and dir2 whose names are given by common.
 
 Returns three lists of file names: match, mismatch, errors. match contains the list of files that match, mismatch contains the names of those that don’t, and errors lists the names of files which could not be compared. Files are listed in errors if they don’t exist in one of the directories, the user lacks permission to read them or if the comparison could not be done for some other reason.
 
 The shallow parameter has the same meaning and default value as for filecmp.cmp().
 
 For example, cmpfiles('a', 'b', ['c', 'd/e']) will compare a/c with b/c and a/d/e with b/d/e. 'c' and 'd/e' will each be in one of the three returned lists.
 
 Example:
 
 >>> import filecmp
 >>> filecmp.cmp('undoc.rst', 'undoc.rst') 
 True
 >>> filecmp.cmp('undoc.rst', 'index.rst') 
 False",1,0,0,0,0,0,0,1,1,0,0,1
29,"tempfile.mkstemp(suffix=None, prefix=None, dir=None, text=False)
 Creates a temporary file in the most secure manner possible. There are no race conditions in the file’s creation, assuming that the platform properly implements the os.O_EXCL flag for os.open(). The file is readable and writable only by the creating user ID. If the platform uses permission bits to indicate whether a file is executable, the file is executable by no one. The file descriptor is not inherited by child processes.
 
 Unlike TemporaryFile(), the user of mkstemp() is responsible for deleting the temporary file when done with it.
 
 If suffix is not None, the file name will end with that suffix, otherwise there will be no suffix. mkstemp() does not put a dot between the file name and the suffix; if you need one, put it at the beginning of suffix.
 
 If prefix is not None, the file name will begin with that prefix; otherwise, a default prefix is used. The default is the return value of gettempprefix() or gettempprefixb(), as appropriate.
 
 If dir is not None, the file will be created in that directory; otherwise, a default directory is used. The default directory is chosen from a platform-dependent list, but the user of the application can control the directory location by setting the TMPDIR, TEMP or TMP environment variables. There is thus no guarantee that the generated filename will have any nice properties, such as not requiring quoting when passed to external commands via os.popen().
 
 If any of suffix, prefix, and dir are not None, they must be the same type. If they are bytes, the returned name will be bytes instead of str. If you want to force a bytes return value with otherwise default behavior, pass suffix=b''.
 
 If text is specified, it indicates whether to open the file in binary mode (the default) or text mode. On some platforms, this makes no difference.
 
 mkstemp() returns a tuple containing an OS-level handle to an open file (as would be returned by os.open()) and the absolute pathname of that file, in that order.
 
 Changed in version 3.5: suffix, prefix, and dir may now be supplied in bytes in order to obtain a bytes return value. Prior to this, only str was allowed. suffix and prefix now accept and default to None to cause an appropriate default value to be used.",1,0,1,1,1,0,1,0,0,0,0,0
30,"linecache.getline(filename, lineno[, module_globals])
 Get line lineno from file named filename. This function will never raise an exception — it will return '' on errors (the terminating newline character will be included for lines that are found).
 
 If a file named filename is not found, the function will look for it in the module search path, sys.path, after first checking for a PEP 302 __loader__ in module_globals, in case the module was imported from a zipfile or other non-filesystem import source.
 
 New in version 2.5: The module_globals parameter was added.",1,0,0,0,1,0,1,0,0,0,1,1
31,"The shutil module offers a number of high-level operations on files and collections of files. In particular, functions are provided which support file copying and removal. For operations on individual files, see also the os module.
 
 Warning Even the higher-level file copying functions (shutil.copy(), shutil.copy2()) can’t copy all file metadata.
 On POSIX platforms, this means that file owner and group are lost as well as ACLs. On Mac OS, the resource fork and other metadata are not used. This means that resources will be lost and file type and creator codes will not be correct. On Windows, file owners, ACLs and alternate data streams are not copied.",0,0,0,0,1,0,0,0,0,1,0,0
32,"pickle.load(file, *, fix_imports=True, encoding=""ASCII"", errors=""strict"")
 Read a pickled object representation from the open file object file and return the reconstituted object hierarchy specified therein. This is equivalent to Unpickler(file).load().
 
 The protocol version of the pickle is detected automatically, so no protocol argument is needed. Bytes past the pickled object’s representation are ignored.
 
 The argument file must have two methods, a read() method that takes an integer argument, and a readline() method that requires no arguments. Both methods should return bytes. Thus file can be an on-disk file opened for binary reading, an io.BytesIO object, or any other custom object that meets this interface.
 
 Optional keyword arguments are fix_imports, encoding and errors, which are used to control compatibility support for pickle stream generated by Python 2. If fix_imports is true, pickle will try to map the old Python 2 names to the new names used in Python 3. The encoding and errors tell pickle how to decode 8-bit string instances pickled by Python 2; these default to ‘ASCII’ and ‘strict’, respectively. The encoding can be ‘bytes’ to read these 8-bit string instances as bytes objects.",1,0,1,1,0,0,1,0,0,1,0,0
33,"shelve.open(filename, flag='c', protocol=None, writeback=False)
 Open a persistent dictionary. The filename specified is the base filename for the underlying database. As a side-effect, an extension may be added to the filename and more than one file may be created. By default, the underlying database file is opened for reading and writing. The optional flag parameter has the same interpretation as the flag parameter of anydbm.open().
 
 By default, version 0 pickles are used to serialize values. The version of the pickle protocol can be specified with the protocol parameter.
 
 Changed in version 2.3: The protocol parameter was added.
 
 Because of Python semantics, a shelf cannot know when a mutable persistent-dictionary entry is modified. By default modified objects are written only when assigned to the shelf (see Example). If the optional writeback parameter is set to True, all entries accessed are also cached in memory, and written back on sync() and close(); this can make it handier to mutate mutable entries in the persistent dictionary, but, if many entries are accessed, it can consume vast amounts of memory for the cache, and it can make the close operation very slow since all accessed entries are written back (there is no way to determine which accessed entries are mutable, nor which ones were actually mutated).
 
 Like file objects, shelve objects should be closed explicitly to ensure that the persistent data is flushed to disk.
 
 Warning Because the shelve module is backed by pickle, it is insecure to load a shelf from an untrusted source. Like with pickle, loading a shelf can execute arbitrary code.",1,1,1,1,1,0,1,0,0,0,0,0
34,"This module contains functions that can read and write Python values in a binary format. The format is specific to Python, but independent of machine architecture issues (e.g., you can write a Python value to a file on a PC, transport the file to a Sun, and read it back there). Details of the format are undocumented on purpose; it may change between Python versions (although it rarely does). [1]
 
 This is not a general “persistence” module. For general persistence and transfer of Python objects through RPC calls, see the modules pickle and shelve. The marshal module exists mainly to support reading and writing the “pseudo-compiled” code for Python modules of .pyc files. Therefore, the Python maintainers reserve the right to modify the marshal format in backward incompatible ways should the need arise. If you’re serializing and de-serializing Python objects, use the pickle module instead – the performance is comparable, version independence is guaranteed, and pickle supports a substantially wider range of objects than marshal.",0,1,0,1,1,0,0,0,0,0,0,0
35,"dumbdbm.open(filename[, flag[, mode]])
 Open a dumbdbm database and return a dumbdbm object. The filename argument is the basename of the database file (without any specific extensions). When a dumbdbm database is created, files with .dat and .dir extensions are created.
 
 The optional flag argument is currently ignored; the database is always opened for update, and will be created if it does not exist.
 
 The optional mode argument is the Unix mode of the file, used only when the database has to be created. It defaults to octal 0666 (and will be modified by the prevailing umask).
 
 Changed in version 2.2: The mode argument was ignored in earlier versions.",1,0,1,0,0,1,0,0,0,0,0,0
36,"New in version 2.5.
 
 SQLite is a C library that provides a lightweight disk-based database that doesn’t require a separate server process and allows accessing the database using a nonstandard variant of the SQL query language. Some applications can use SQLite for internal data storage. It’s also possible to prototype an application using SQLite and then port the code to a larger database such as PostgreSQL or Oracle.
 
 The sqlite3 module was written by Gerhard Häring. It provides a SQL interface compliant with the DB-API 2.0 specification described by PEP 249.
 
 To use the module, you must first create a Connection object that represents the database. Here the data will be stored in the example.db file:
 
 import sqlite3
 conn = sqlite3.connect('example.db')
 You can also supply the special name :memory: to create a database in RAM.
 
 Once you have a Connection, you can create a Cursor object and call its execute() method to perform SQL commands:
 
 c = conn.cursor()
 
 # Create table
 c.execute('''CREATE TABLE stocks
  (date text, trans text, symbol text, qty real, price real)''')
 
 # Insert a row of data
 c.execute(""INSERT INTO stocks VALUES ('2006-01-05','BUY','RHAT',100,35.14)"")
 
 # Save (commit) the changes
 conn.commit()
 
 # We can also close the connection if we are done with it.
 # Just be sure any changes have been committed or they will be lost.
 conn.close()
 The data you’ve saved is persistent and is available in subsequent sessions:
 
 import sqlite3
 conn = sqlite3.connect('example.db')
 c = conn.cursor()
 Usually your SQL operations will need to use values from Python variables. You shouldn’t assemble your query using Python’s string operations because doing so is insecure; it makes your program vulnerable to an SQL injection attack (see https://xkcd.com/327/ for humorous example of what can go wrong).
 
 Instead, use the DB-API’s parameter substitution. Put ? as a placeholder wherever you want to use a value, and then provide a tuple of values as the second argument to the cursor’s execute() method. (Other database modules may use a different placeholder, such as %s or :1.) For example:
 
 # Never do this -- insecure!
 symbol = 'RHAT'
 c.execute(""SELECT * FROM stocks WHERE symbol = '%s'"" % symbol)
 
 # Do this instead
 t = ('RHAT',)
 c.execute('SELECT * FROM stocks WHERE symbol=?', t)
 print c.fetchone()
 
 # Larger example that inserts many records at a time
 purchases = [('2006-03-28', 'BUY', 'IBM', 1000, 45.00),
  ('2006-04-05', 'BUY', 'MSFT', 1000, 72.00),
  ('2006-04-06', 'SELL', 'IBM', 500, 53.00),
  ]
 c.executemany('INSERT INTO stocks VALUES (?,?,?,?,?)', purchases)
 To retrieve data after executing a SELECT statement, you can either treat the cursor as an iterator, call the cursor’s fetchone() method to retrieve a single matching row, or call fetchall() to get a list of the matching rows.
 
 This example uses the iterator form:
 
 >>> for row in c.execute('SELECT * FROM stocks ORDER BY price'):
  print row
 
 (u'2006-01-05', u'BUY', u'RHAT', 100, 35.14)
 (u'2006-03-28', u'BUY', u'IBM', 1000, 45.0)
 (u'2006-04-06', u'SELL', u'IBM', 500, 53.0)
 (u'2006-04-05', u'BUY', u'MSFT', 1000, 72.0)",1,0,1,1,1,0,0,1,1,0,1,0
